rank,keyword,search_volume,cpc_usd,keyword_difficulty,intent,category,cluster
1,youtube seo,50000,376.36,15,technical,YouTube SEO,youtube_seo
2,youtube seo optimization,50000,376.36,15,technical,YouTube SEO,youtube_seo
3,youtube marketing,5000,2423.72,20,informational,YouTube for Business,youtube_general
4,youtube marketing services,5000,1557.78,3,informational,Agency / Services,youtube_general
5,youtube seo services,5000,1368.95,1,technical,Agency / Services,youtube_seo
7,youtube video seo,5000,525.61,2,technical,YouTube SEO,youtube_seo
8,youtube video seo optimization,5000,525.61,2,technical,YouTube SEO,youtube_seo
9,youtube seo tools,5000,472.66,1,technical,YouTube SEO,youtube_seo
10,youtube metrics,5000,399.4,2,informational,Analytics & ROI,youtube_general
11,youtube strategy,5000,295.55,18,strategic,YouTube for Business,youtube_general
12,youtube analytics for other channels,5000,225.3,6,technical,Analytics & ROI,youtube_general
13,youtube seo keywords,5000,209.94,13,technical,YouTube SEO,youtube_seo
29,youtube marketing company,500,3649.82,7,informational,Agency / Services,youtube_general
30,youtube businesses,500,2780.79,7,informational,YouTube for Business,youtube_general
31,marketing agency youtube,500,1982.07,18,transactional,Agency / Services,youtube_general
32,youtube marketing agency,500,1982.07,18,transactional,Agency / Services,youtube_general
33,youtube video marketing,500,1790.71,2,informational,Video Marketing Strategy,youtube_general
34,youtube business,500,1683.81,10,informational,YouTube for Business,youtube_growth_strategy
35,youtube seo company,500,1403.03,5,technical,Agency / Services,youtube_seo
36,lead gen youtube,500,1338.97,12,informational,YouTube Lead Gen,youtube_growth_strategy
37,youtube lead gen,500,1338.97,12,informational,YouTube Lead Gen,youtube_growth_strategy
38,youtube seo agency,500,1338.7,1,transactional,Agency / Services,youtube_seo
39,youtube marketing strategy,500,1078.06,4,strategic,YouTube for Business,youtube_general
40,youtube business channel,500,860.09,6,informational,YouTube for Business,youtube_growth_strategy
41,youtube content strategy,500,600.94,5,strategic,YouTube for Business,youtube_general
42,youtube seo expert,500,568.34,13,technical,YouTube SEO,youtube_seo
43,create youtube channel for business,500,555.89,30,informational,YouTube for Business,youtube_growth_strategy
44,youtube seo software,500,522.3,3,transactional,YouTube SEO,youtube_seo
45,youtube seo strategy,500,483.18,3,technical,YouTube SEO,youtube_seo
46,best tools for youtube seo,500,359.29,4,transactional,YouTube SEO,youtube_seo
47,youtube growth strategy,500,357.07,17,strategic,YouTube for Business,youtube_growth_strategy
48,youtube seo best practices,500,345.5,3,transactional,YouTube SEO,youtube_seo
49,youtube channel strategy,500,279.92,13,strategic,YouTube for Business,youtube_general
50,youtube analytics for other channels free,500,201.41,2,transactional,Analytics & ROI,youtube_general
51,youtube seo guidelines,500,198.85,4,technical,YouTube SEO,youtube_seo
52,youtube seo optimization tips,500,193.96,2,technical,YouTube SEO,youtube_seo
53,youtube seo tips,500,193.96,2,technical,YouTube SEO,youtube_seo
56,youtube marketing campaign,500,39.59,0,,YouTube for Business,
72,youtube video marketing services,500,11.29,1,informational,Agency / Services,youtube_general
75,b2b youtube,500,11.0,0,informational,YouTube for Business,b2b
76,youtube for b2b,500,11.0,0,informational,YouTube for Business,b2b
78,youtube agencies,500,9.0,0,transactional,Agency / Services,youtube_general
81,youtube management agency,500,6.0,0,transactional,Agency / Services,youtube_general
82,youtube digital marketing,500,6.0,0,informational,YouTube for Business,youtube_general
85,keyword research for youtube seo,500,0.0,1,technical,YouTube SEO,youtube_seo
88,youtube channel optimization and video seo,500,0.0,0,technical,YouTube SEO,youtube_seo
89,youtube marketing tools,500,0.0,0,informational,YouTube for Business,youtube_general
90,youtube video marketing company,500,0.0,0,informational,Agency / Services,youtube_general
91,youtube video seo service,500,0.0,1,transactional,Agency / Services,youtube_seo
93,youtube marketing case study,500,0.0,0,informational,Video Marketing Strategy,youtube_general
96,best youtube marketing,50,40.03,0,,YouTube for Business,
97,organic youtube marketing,50,39.36,0,,YouTube for Business,
98,b2b youtube strategy,50,32.45,0,,YouTube for Business,
100,youtube for business marketing,50,29.29,0,,YouTube for Business,
101,youtube marketing for real estate,50,27.21,0,,YouTube for Business,
103,youtube marketing online,50,23.65,0,,YouTube for Business,
104,youtube seo marketing,50,23.32,0,,YouTube SEO,
105,youtube marketing consultant,50,21.98,0,,YouTube for Business,
106,youtube marketing specialist,50,21.71,0,,YouTube for Business,
108,youtube marketing platform,50,17.01,0,,YouTube for Business,
111,best youtube marketing agencies,50,10.6,0,,YouTube for Business,
112,best youtube marketing agency,50,10.6,0,,Agency / Services,
113,youtube seo consultant,50,10.26,0,,YouTube SEO,
116,youtube video marketing agency,50,8.86,0,,Agency / Services,
117,youtube marketing packages,50,8.3,0,,YouTube for Business,
118,youtube video marketing strategy,50,6.34,0,,Video Marketing Strategy,
119,youtube marketing cost,50,6.24,0,,YouTube for Business,
120,youtube marketing price,50,5.7,0,,YouTube for Business,
121,youtube marketing agency near me,50,4.06,0,,Agency / Services,
122,learn youtube marketing,50,2.83,0,,YouTube for Business,
123,youtube digital marketing agency,50,2.0,0,transactional,Agency / Services,b2b
124,youtube marketing for beginners,50,1.11,0,,YouTube for Business,
125,youtube marketing services near me,50,0.62,0,,Agency / Services,
126,best youtube marketing campaigns,50,0.0,0,,YouTube for Business,
127,best youtube marketing companies,50,0.0,0,,YouTube for Business,
128,best youtube marketing services,50,0.0,0,,Agency / Services,
129,best youtube marketing strategy,50,0.0,0,,YouTube for Business,
130,cost of youtube marketing,50,0.0,0,,YouTube for Business,
131,digital marketing agency youtube,50,0.0,0,,Agency / Services,
132,digital marketing agency youtube video,50,0.0,0,,Agency / Services,
133,ecommerce youtube marketing,50,0.0,0,,YouTube for Business,
134,successful youtube marketing campaigns,50,0.0,0,,YouTube for Business,
135,top youtube marketing companies,50,0.0,0,,YouTube for Business,
136,youtube marketing b2b,50,0.0,0,,YouTube for Business,
137,youtube marketing best practices,50,0.0,0,,YouTube for Business,
138,youtube marketing content,50,0.0,0,,YouTube for Business,
139,youtube marketing firm,50,0.0,0,,YouTube for Business,
140,youtube marketing for b2b,50,0.0,0,,YouTube for Business,
141,youtube marketing for ecommerce,50,0.0,0,,YouTube for Business,
142,youtube marketing for law firms,50,0.0,0,,YouTube for Business,
143,youtube marketing for small business,50,0.0,0,,YouTube for Business,
144,youtube marketing influencer,50,0.0,0,,YouTube for Business,
145,youtube marketing near me,50,0.0,0,,YouTube for Business,
146,youtube marketing secrets,50,0.0,0,,YouTube for Business,
147,youtube video seo marketing,50,0.0,0,,YouTube SEO,
148,youtube video seo services,50,0.0,0,,Agency / Services,
152,youtube for b2b marketing,50,0.0,0,informational,YouTube for Business,b2b
153,b2b youtube channels,50,0.0,0,informational,YouTube for Business,b2b
154,best b2b youtube channels,50,0.0,0,informational,YouTube for Business,b2b
155,startup youtube,5000,182.4,1,informational,YouTube for Business,youtube_general
156,best business channel on youtube,500,0.0,0,transactional,YouTube for Business,youtube_general
157,using youtube for business,500,1307.19,2,informational,YouTube for Business,youtube_growth_strategy
158,youtube premium for business,500,0.0,3,informational,YouTube for Business,youtube_growth_strategy
159,youtube videos for business,500,963.0,4,informational,YouTube for Business,youtube_growth_strategy
160,youtube ads for business,500,5211.32,6,informational,YouTube for Business,youtube_growth_strategy
161,youtube marketing companies,500,1344.32,10,informational,Agency / Services,youtube_general
162,youtube for business,500,2625.87,12,informational,YouTube for Business,youtube_growth_strategy
163,content strategy youtube,500,472.73,16,strategic,YouTube for Business,youtube_general
165,youtube channel management agency,500,237.05,27,transactional,Agency / Services,youtube_general
166,youtube talent agency,500,415.09,29,transactional,Agency / Services,youtube_general
167,open youtube account for business,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
168,set up a youtube account for business,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
